Source,Filename,Bedreiging,Categorie,Citaat,Topic,TopicName
scp,0,Democratische erosie door veronachtzaming van rechtsstatelijke waarden.,Sociaal & Maatschappelijk,‘democratische erosie’ (zie o.a. Honingh en Van Ham 2024),40,Democratie
scp,0,Beperkt rechtsstatelijk bewustzijn onder de bevolking.,Sociaal & Maatschappelijk,empirische aanwijzingen voor beperkt rechtsstatelijk bewustzijn in Nederland,20,Vertrouwensoverheid
scp,0,Afname van steun voor parlementaire controle ten gunste van daadkrachtig bestuur.,Sociaal & Maatschappelijk,deze grote steun voor parlementaire controle neemt af als mensen gevraagd worden te kiezen tussen parlementaire controle en daadkrachtig bestuur,20,Vertrouwensoverheid
scp,0,Perceptie dat controlerende machten de wil van het volk tegenwerken.,Sociaal & Maatschappelijk,Mensen zien de controlerende macht van het parlement en de rechtspraak niet altijd als bescherming van burgers tegen machtsmisbruik door de regering,20,Vertrouwensoverheid
scp,0,Afname van de legitimiteit van de overheid.,Sociaal & Maatschappelijk,Overheidslegitimiteit in SCP-onderzoek,20,Vertrouwensoverheid
scp,0,Verlies van democratische waarden onder jongeren.,Sociaal & Maatschappelijk,Jongeren over democratische waarden,20,Vertrouwensoverheid
scp,1,Laag vertrouwen in de politiek onder de bevolking.,Sociaal & Maatschappelijk,In de (na)zomer van 2024 is het vertrouwen in de politiek laag.,20,Vertrouwensoverheid
scp,1,Zorgen over de samenwerking en competentie van bewindspersonen.,Sociaal & Maatschappelijk,ze vinden bewindspersonen niet competent.,45,Polarisatie
scp,1,Somberheid over de richting van het land.,Sociaal & Maatschappelijk,57% vindt het de verkeerde kant opgaan.,20,Vertrouwensoverheid
scp,1,Tekort aan betaalbare woningen en zorgen over immigratie.,Sociaal & Maatschappelijk,Het tekort aan betaalbare woningen en immigratie zijn de meestgenoemde maatschappelijke problemen.,39,Migratie
scp,1,Zorgen over armoede en inkomensverschillen.,Sociaal & Maatschappelijk,de (in ogen van mensen) grote inkomensverschillen en armoede.,39,Migratie
scp,1,Onzekerheid over de democratie door steun voor krachtige leiders.,Geopolitiek & militair,Een minderheid van 28% is het eens met de stelling dat het goed zou zijn als het landsbestuur werd overgelaten aan een paar krachtige leiders.,20,Vertrouwensoverheid
scp,1,Verlies van diversiteit in besluitvorming en mogelijke machtsmisbruik.,Sociaal & Maatschappelijk,‘De kracht van een samenleving zit er juist in dat we heel divers zijn en ieders stem wordt meegewogen.’,28,Beleidsveronderstellingen
scp,1,Onvrede over de huidige politieke koers en besluitvorming.,Sociaal & Maatschappelijk,"‘Er zijn te veel politieke partijen, te veel instanties, er wordt oeverloos gedebatteerd.’",20,Vertrouwensoverheid
scp,1,Hoge inflatie en economische zorgen.,Economisch,36% verwacht dat het slechter zal gaan met de economie.,14,Energiebesparing
scp,1,Verlies van vertrouwen in instituties door externe factoren.,Sociaal & Maatschappelijk,"Als het niet inlossen van verwachtingen wordt toegeschreven aan externe factoren, zoals aan rechters of andere instituties binnen de democratische rechtsstaat, kan dat het vertrouwen in deze instituties aantasten.",20,Vertrouwensoverheid
scp,2,Ongelijkheden tussen groepen in de samenleving zijn aanzienlijk.,Sociaal & Maatschappelijk,Ongelijkheden zijn aanzienlijk en stapelen bij bepaalde groepen,22,Sociale Cohesie
scp,2,Ervaren tegenstellingen tussen groepen in de samenleving nemen toe.,Sociaal & Maatschappelijk,Ervaren tegenstellingen nemen toe,45,Polarisatie
scp,2,De relatie tussen burgers en de overheid is problematisch.,Sociaal & Maatschappelijk,Hoe ervaren Nederlanders de relatie met de overheid?,20,Vertrouwensoverheid
scp,2,Er zijn knelpunten op sociaal-maatschappelijk vlak die aandacht van beleid nodig hebben.,Sociaal & Maatschappelijk,sociaal-maatschappelijke knelpunten waarvoor aandacht van beleid nodig is,31,Beleidkwaliteit
scp,2,Ervaren discriminatie in de samenleving.,Sociaal & Maatschappelijk,ervaren discriminatie,22,Sociale Cohesie
scp,2,Laag sociaal vertrouwen tussen burgers.,Sociaal & Maatschappelijk,sociaal vertrouwen,20,Vertrouwensoverheid
scp,2,Onvoldoende legitimiteit van de overheid.,Sociaal & Maatschappelijk,legitimiteit,20,Vertrouwensoverheid
scp,2,Onvoldoende politiek vertrouwen in de overheid.,Sociaal & Maatschappelijk,politiek vertrouwen,20,Vertrouwensoverheid
scp,2,Onvoldoende responsiviteit van de overheid.,Sociaal & Maatschappelijk,responsiviteit,31,Beleidkwaliteit
scp,2,Te hoge druk op participatie van burgers.,Sociaal & Maatschappelijk,overvraging van burgers,28,Beleidsveronderstellingen
scp,2,Te lage kwaliteit van leven door armoede.,Sociaal & Maatschappelijk,veel mensen in armoede leven,38,Armoede
scp,2,Grote verschillen in besteedbaar inkomen tussen groepen.,Sociaal & Maatschappelijk,grote verschillen zijn tussen mensen wat betreft besteedbaar inkomen,38,Armoede
scp,2,Laag vertrouwen in de politiek.,Sociaal & Maatschappelijk,Laag vertrouwen in de politiek,20,Vertrouwensoverheid
scp,2,Sociale samenhang in sommige wijken is laag.,Sociaal & Maatschappelijk,de sociale samenhang in sommige wijken laag,22,Sociale Cohesie
scp,2,Afname in mentale gezondheid.,Gezondheid,Aandacht voor afname in mentale gezondheid,22,Sociale Cohesie
scp,2,Personeelstekorten in verschillende arbeidsmarktsectoren.,Economisch,het personeelsgebrek in verschillende arbeidsmarktsectoren een serieuze uitdaging.,11,Ongelijkheid
scp,2,Verlies van vertrouwen in de overheid door onvoldoende ondersteuning.,Sociaal & Maatschappelijk,"Mensen die niet passend geholpen worden, kunnen het gevoel hebben er alleen voor te staan en kunnen het vertrouwen in instanties en de overheid kwijtraken.",20,Vertrouwensoverheid
scp,2,De leefwerelden van verschillende sociaaleconomische groepen drijven uit elkaar.,Sociaal & Maatschappelijk,Dit betekent dat de leefwerelden van de armste en rijkste Nederlanders steeds verder van elkaar verwijderd raken.,22,Sociale Cohesie
