Source,Filename,ThreatCount,ProcessedAt
clingendael,0,24,2025-03-24T11:04:58.214426
clingendael,1,16,2025-03-24T11:05:30.895024
clingendael,2,9,2025-03-24T11:05:58.904538
clingendael,4,12,2025-03-24T11:06:33.985605
clingendael,5,8,2025-03-24T11:06:59.603916
clingendael,6,15,2025-03-24T11:07:56.406714
clingendael,7,59,2025-03-24T11:09:50.896388
clingendael,8,10,2025-03-24T11:10:24.594990
clingendael,9,18,2025-03-24T11:10:53.773811
clingendael,10,19,2025-03-24T11:11:24.155209
clingendael,11,10,2025-03-24T11:11:44.634649
clingendael,12,37,2025-03-24T11:12:23.645236
clingendael,13,16,2025-03-24T11:12:51.809726
clingendael,14,7,2025-03-24T11:13:16.086925
clingendael,16,11,2025-03-24T11:13:32.872237
clingendael,17,14,2025-03-24T11:14:04.122541
clingendael,19,15,2025-03-24T11:14:44.510156
clingendael,20,6,2025-03-24T11:15:46.246815
clingendael,22,10,2025-03-24T11:16:18.809251
clingendael,23,14,2025-03-24T11:16:46.755066
clingendael,24,30,2025-03-24T11:17:25.325550
clingendael,28,10,2025-03-24T11:17:51.754287
clingendael,29,22,2025-03-24T11:18:26.763048
clingendael,30,7,2025-03-24T11:18:58.433825
clingendael,31,18,2025-03-24T11:19:48.082683
clingendael,32,5,2025-03-24T11:20:03.916745
clingendael,34,23,2025-03-24T11:20:40.565538
clingendael,36,14,2025-03-24T11:21:11.299005
clingendael,39,9,2025-03-24T11:21:38.563307
clingendael,40,5,2025-03-24T11:21:57.614416
clingendael,41,6,2025-03-24T11:22:28.800948
clingendael,42,15,2025-03-24T11:22:52.237680
clingendael,43,18,2025-03-24T11:23:29.567992
clingendael,45,10,2025-03-24T11:24:02.958362
clingendael,48,8,2025-03-24T11:24:18.860680
clingendael,50,8,2025-03-24T11:24:53.196915
clingendael,53,10,2025-03-24T11:25:11.657550
clingendael,56,10,2025-03-24T11:25:45.956869
clingendael,57,16,2025-03-24T11:26:23.070852
clingendael,58,20,2025-03-24T11:27:11.914718
clingendael,60,9,2025-03-24T11:27:38.219890
clingendael,61,11,2025-03-24T11:28:08.973386
clingendael,62,9,2025-03-24T11:28:34.865896
clingendael,64,10,2025-03-24T11:29:17.981377
clingendael,66,10,2025-03-24T11:29:52.314864
clingendael,69,9,2025-03-24T11:30:22.407512
clingendael,70,19,2025-03-24T11:30:59.711954
clingendael,71,6,2025-03-24T11:35:00.599444
clingendael,72,9,2025-03-24T11:35:21.295506
clingendael,73,10,2025-03-24T11:35:44.176179
clingendael,75,9,2025-03-24T11:36:03.176619
clingendael,76,44,2025-03-24T11:36:53.319476
clingendael,77,10,2025-03-24T11:37:20.831290
clingendael,78,10,2025-03-24T11:37:41.976375
clingendael,81,6,2025-03-24T11:37:58.548591
clingendael,82,35,2025-03-24T11:38:34.534830
clingendael,83,16,2025-03-24T11:39:15.004962
clingendael,86,15,2025-03-24T11:39:58.694371
clingendael,87,10,2025-03-24T11:40:21.686691
clingendael,89,24,2025-03-24T11:41:04.638030
clingendael,91,20,2025-03-24T11:41:29.449166
clingendael,94,10,2025-03-24T11:42:06.129354
clingendael,97,24,2025-03-24T11:43:11.062461
clingendael,98,10,2025-03-24T11:43:32.796482
clingendael,99,16,2025-03-24T11:44:18.250662
clingendael,100,47,2025-03-24T11:45:08.696261
clingendael,101,10,2025-03-24T11:45:30.549368
clingendael,104,10,2025-03-24T11:45:56.461518
clingendael,105,15,2025-03-24T11:46:26.800975
clingendael,107,9,2025-03-24T11:46:50.578580
clingendael,110,24,2025-03-24T11:47:28.397397
clingendael,111,56,2025-03-24T11:48:22.515364
clingendael,114,20,2025-03-24T11:48:59.226535
clingendael,116,18,2025-03-24T11:49:25.618275
clingendael,117,18,2025-03-24T11:49:53.854569
clingendael,118,10,2025-03-24T11:51:19.567397
clingendael,119,10,2025-03-24T11:52:06.700078
clingendael,123,22,2025-03-24T11:52:58.945743
clingendael,124,15,2025-03-24T11:53:25.635410
clingendael,125,10,2025-03-24T11:53:56.872243
