Source,Filename,Oorzaak,Gevolg,Citaat
clingendael,2,Moldova ervaart ernstige economische moeilijkheden door het stoppen van de Russische gasleveringen.,De bevolking van Transnistria heeft geen verwarming en ervaart stroomuitval tijdens de koudste maanden.,"De ceasing of the gas transit has brought Chisinau severe economic difficulties, having to shift to more expensive energy providers. But for Transnistria it has meant a crisis of downright existential proportions."
clingendael,2,De bevolking van Transnistria heeft geen verwarming en ervaart stroomuitval tijdens de koudste maanden.,Transnistria's afhankelijkheid van Chisinau en de EU neemt toe door de energiecrisis.,"With the cutting of this exceedingly important Russian lifeline and the uncertainty it brings to Transnistria, the region’s potential dependency on Chisinau (and by extension, the EU) is increasing."
clingendael,2,De afname van Russische subsidies aan Transnistrië.,De politieke invloed van Rusland in Transnistria neemt af door de verstoring van gasleveringen.,"With this lifeline severed, Russia’s grip on the region is bound to loosen, if not immediately then in the longer term."
clingendael,4,De risico's van sabotage op de geplande Black Sea Submarine Cable.,De mogelijkheid dat Rusland en Iran de kabel tussen Kazachstan en Azerbeidzjan kunnen beschadigen.,"Yet, ongoing attacks between Russia and Ukraine pose sabotage risks to the proposed cable which would be positioned south of Crimea."
clingendael,4,Geopolitieke obstakels belemmeren de voortgang van energieprojecten.,De druk van Rusland om samenwerking met de EU te beperken.,"However, little progress has been made due to geopolitical obstacles."
clingendael,4,De druk van Rusland om samenwerking met de EU te beperken.,De toenemende samenwerking tussen de EU en Kaspische landen kan de politieke en veiligheidscoöperatie van Rusland verzwakken.,"Russia’s systemic presence in the Caspian Sea region comes from Soviet historic connections as well as control over security, economic dependencies and regional institutions."
clingendael,4,De mogelijkheid dat Rusland en Iran de kabel tussen Kazachstan en Azerbeidzjan kunnen beschadigen.,De blokkade van pijpleidingen door Rusland en Iran.,"For the Caspian Sea, cable safety could also be an issue, as Russia and Iran could easily cut or damage the proposed cable between Kazakhstan and Azerbaijan."
clingendael,4,De blokkade van pijpleidingen door Rusland en Iran.,De moeilijkheid om hernieuwbare energie te exporteren door geopolitieke omstandigheden.,"While there are political difficulties, investors also remain concerned about the high financial cost of the infrastructure and its long term feasibility."
clingendael,5,Militaire mobilisatie en escalatie van spanningen tussen Eritrea en Ethiopië.,Verslechterende relaties en de mogelijkheid van een grootschalige oorlog tussen Eritrea en Ethiopië.,Eritrea’s mobilization is particularly worrying because it takes place amidst rapidly increasing tensions with Ethiopia.
clingendael,5,Verslechterende relaties en de mogelijkheid van een grootschalige oorlog tussen Eritrea en Ethiopië.,Gevolgen van een conflict voor de regio en daarbuiten.,An all-out conflict between Eritrea and Ethiopia would have terrible consequences in the region and beyond.
clingendael,5,Gevolgen van een conflict voor de regio en daarbuiten.,Diepgaande militarisering en politieke repressie in Eritrea.,"a war between the two sides risks deepening Eritrea’s decades-long cycle of militarization, political repression, and underdevelopment."
