Source,Filename,Bedreiging,Categorie,Citaat
clingendael,0,Vrees voor hybride dreigingen en oorlog.,Geopolitiek & militair,Vrees voor hybride dreigingen en oorlog brengt Nederlanders bijeen.
clingendael,0,Vrees voor de opkomst van politieke partijen die mensen uitsluiten op basis van religie en ras.,Sociaal & Maatschappelijk,Ruim 20% van de Nederlanders ziet de politieke overtuigingen van andere Nederlanders als de grootste bedreiging: zij vrezen de opkomst van politieke partijen in verschillende landen die mensen uitsluiten op basis van religie en ras.
clingendael,0,Cybersabotage van Nederlandse vitale infrastructuur.,Technologisch & digitaal,"Cybersabotage van Nederlandse vitale infrastructuur (bijv. energie-, betalings-, drinkwaterinfrastructuur)"
clingendael,0,Fysieke sabotage van Nederlandse vitale infrastructuur.,Technologisch & digitaal,"Fysieke sabotage van Nederlandse vitale infrastructuur (bijv. energie-, drinkwaterinfrastructuur, betalings- en internetverkeer)"
clingendael,0,Onvoldoende militaire capaciteit onder EU-lidstaten.,Geopolitiek & militair,Onvoldoende militaire capaciteit onder EU-lidstaten om het Europese grondgebied te verdedigen
clingendael,0,Ondermijning van democratische rechtsstaten in de Europese Unie.,Sociaal & Maatschappelijk,Ondermijning van democratische rechtsstaten in de EU
clingendael,0,Buitenlandse inmenging in verkiezingen in Nederland.,Geopolitiek & militair,Buitenlandse inmenging in de Nederlandse verkiezingen stijgt van positie 21 naar positie 17
clingendael,0,Afhankelijkheid van niet gelijkgezinde landen ten aanzien van vitale producten.,Economisch,"Afhankelijkheid van niet gelijkgezinde landen ten aanzien van vitale producten (bijv. grondstoffen, energie, chips, medicijnen, wapens)"
clingendael,0,Toename van maatschappelijke spanningen in Nederland.,Sociaal & Maatschappelijk,"Toename van maatschappelijke spanningen in Nederland vanwege een conflict in het buitenland (bijvoorbeeld vanwege de oorlog tussen Rusland en Oekraïne, of de oorlog tussen Israël en Hamas)"
clingendael,0,Grootschalige irreguliere migratie.,Sociaal & Maatschappelijk,Grootschalige irreguliere immigratie waarbij migranten geen geldige documenten hebben om in een land binnen te komen of te verblijven
clingendael,0,De opkomst van intolerante religieuze bewegingen in verschillende landen.,Sociaal & Maatschappelijk,De opkomst van intolerante religieuze bewegingen in verschillende landen
clingendael,0,Verzwakking van de veiligheidsgarantie van de Verenigde Staten aan Europa.,Geopolitiek & militair,Verzwakking van de veiligheidsgarantie van de Verenigde Staten aan Europa (bijv. door politieke koers VS of Amerikaans-Chinees conflict)
clingendael,0,Klimaatverandering en de gevolgen voor de Nederlandse samenleving.,Ecologisch,"Gevolgen voor de Nederlandse samenleving van klimaatverandering (overstromingen, hittestress, droogte, aantasting natuur en biodiversiteit)"
clingendael,0,Een nieuwe ernstige pandemie.,Gezondheid,Een nieuwe ernstige pandemie
clingendael,0,Desinformatie en de impact op de samenleving.,Sociaal & Maatschappelijk,"Toenemende polarisering en radicalisering door buitenlandse des­informatiecampagnes (bijv. rond verkiezingen in Nederland, rond de oorlog in Oekraïne)"
clingendael,0,Verlies van nationale eigenheid door migratie.,Sociaal & Maatschappelijk,"De breuklijn tussen mensen die grenzen en nationale eigenheid belangrijk vinden en de rest van de bevolking blijkt daarbij niet alleen bepalend voor standpunten ten aanzien van migratie, maar ook ten aanzien van klimaat, democratie en rechtsorde."
clingendael,0,Verlies van controle over asielaanvragen.,Sociaal & Maatschappelijk,Verplaatsing van de afhandeling van asielaanvragen van Nederland naar een land buiten de Europese Unie (zoals Italië dat probeert te doen met Albanië)
clingendael,0,Verlies van soevereiniteit van lidstaten.,Geopolitiek & militair,De Europese Unie toont meer respect voor de soevereiniteit van de lidstaten
clingendael,0,Verlies van eenheid binnen de EU en NAVO.,Geopolitiek & militair,De EU is niet slagvaardig door interne verdeeldheid en tegenstellingen
clingendael,0,Internationale georganiseerde misdaad.,Sociaal & Maatschappelijk,Ondermijning van de Nederlandse samenleving door internationale georganiseerde misdaad
clingendael,0,De opkomst van haat tegen Joden en Moslims.,Sociaal & Maatschappelijk,De opkomst van haat tegen Joden
clingendael,0,De gevolgen van economische afhankelijkheid van China en Rusland.,Economisch,Economische opkomst van landen in de Europese regio door verplaatsing van productie vanuit China en Rusland naar de EU en omringende landen
clingendael,0,Terrorisme en de dreiging van aanslagen.,Geopolitiek & militair,Geheime diensten krijgen meer bevoegdheden om terrorisme te bestrijden
clingendael,0,Verlies van privacy door technologische ontwikkelingen.,Technologisch & digitaal,"Techbedrijven moeten aan strengere regels voldoen (bijv. om de privacy van burgers te beschermen, of desinformatie te bestrijden)"
clingendael,1,Beperkingen op de vrije beweging van werknemers binnen de EU.,Geopolitiek & militair,"“With regard to labour migration, the Netherlands will advocate for restrictions on the free movement of persons within the EU if and in so far as enlargement of the EU is at issue.”"
clingendael,1,De brain drain in de Westelijke Balkan.,Sociaal & Maatschappelijk,“Bosnia and Herzegovina faces severe brain drain challenges.”
clingendael,1,De groeiende maatschappelijke druk om migratie te beheersen.,Sociaal & Maatschappelijk,“there is a growing societal and political desire to better manage migration and lower immigration numbers.”
