Source,Filename,Oorzaak,Gevolg,Citaat
cpb,1,Hoge autobelastingen kunnen huishoudens financieel belasten.,Huishoudens met lage inkomens hebben moeite om rond te komen door autobelastingen.,Hoge autokosten zouden mensen ervan kunnen weerhouden om deel te nemen aan deze activiteiten.
cpb,1,De afhankelijkheid van de auto in landelijke gebieden kan toenemen door verminderde bereikbaarheid.,De afhankelijkheid van autobelastingen kan de economische stabiliteit beïnvloeden.,"Verminderde bereikbaarheid maakt meer mensen afhankelijk van de auto, wat vervolgens de financiële impact van autobelastingen vergroot."
cpb,3,Hoge armoede-intensiteit onder huishoudens met loon- of zelfstandigeninkomen.,Hoge percentages niet-gebruik van toeslagen onder werknemers en zelfstandigen.,"Deze huishoudens vragen relatief vaak niet de toeslagen aan waar zij recht op hebben, waardoor de armoede-intensiteit hoger is."
cpb,3,Mensen met een laag inkomen door een laag aantal gewerkte uren.,Hoge armoede-intensiteit onder deeltijdwerkers.,Werknemers in armoede hebben vaak een lager inkomen vanwege een laag aantal gewerkte uren.
cpb,3,Hoge armoede-intensiteit onder alleenstaanden met twee kinderen.,Onvoldoende inkomen voor bijstandsuitkeringsgerechtigden.,Mensen met een bijstandsuitkering hebben vaak een relatief lage armoede-intensiteit.
cpb,3,Hoge armoede-intensiteit onder alleenstaanden zonder kinderen.,Onvoldoende inkomen voor bijstandsuitkeringsgerechtigden.,Mensen met een bijstandsuitkering hebben vaak een relatief lage armoede-intensiteit.
cpb,5,Langdurig niet-gebruik van toeslagen door een deel van de rechthebbenden.,Financieel verlies door niet-aangevraagde zorgtoeslag.,Bij de zorgtoeslag en de huurtoeslag is het langdurige niet-gebruik hoog.
cpb,5,Ongelijkheid in toegang tot toeslagen voor alleenstaande ouders.,Financieel verlies door niet-aangevraagde zorgtoeslag.,Er is sprake van relatief veel langdurig niet-gebruik.
cpb,5,Complexiteit van het toeslagensysteem.,Het niet-gebruik van toeslagen door kwetsbare huishoudens.,Verschillende onderzoeken tonen aan dat niet-gebruik van toeslagen één van de belangrijkste nadelen van het huidige toeslagenstelsel is.
cpb,5,Onzekerheid over recht op toeslagen.,Het niet-gebruik van toeslagen door kwetsbare huishoudens.,Zij lopen het risico onder het sociaal minimum te belanden wanneer zij geen gebruik maken van hun recht op toeslag.
