Source,Filename,Bedreiging,Categorie,Citaat
cpb,1,Hoge autobelastingen kunnen huishoudens financieel belasten.,Economisch,Hoge autokosten zouden mensen ervan kunnen weerhouden om deel te nemen aan deze activiteiten.
cpb,1,Huishoudens met lage inkomens hebben moeite om rond te komen door autobelastingen.,Sociaal & Maatschappelijk,1 op de 10 huishoudens met een auto moeite heeft om rond te komen en de kosten van auto’s te betalen.
cpb,1,De afhankelijkheid van de auto in landelijke gebieden kan toenemen door verminderde bereikbaarheid.,Sociaal & Maatschappelijk,"Verminderde bereikbaarheid maakt meer mensen afhankelijk van de auto, wat vervolgens de financiële impact van autobelastingen vergroot."
cpb,1,De belastingkortingen voor elektrische auto’s komen vooral ten goede aan hogere inkomens.,Economisch,De belastingkortingen voor elektrische auto’s gaan vooral naar huishoudens met hoge inkomens.
cpb,1,De variatie in autobezit en gereden kilometers leidt tot ongelijkheid in autobelastingen.,Sociaal & Maatschappelijk,De grootste verschillen in uitgaven zitten binnen inkomensgroepen.
cpb,1,Regionale verschillen in bereikbaarheid van voorzieningen kunnen economische ongelijkheid versterken.,Economisch,De grote variatie in bereikbaarheid van dergelijke voorzieningen leidt naar verwachting tot regionale verschillen in uitgaven.
cpb,1,De impact van autobelastingen op de verkeersveiligheid is niet volledig vastgelegd.,Gezondheid,"niet alle maatschappelijke kosten van wegverkeer zijn vastgelegd in wettelijke doelen, zoals het effect op verkeersveiligheid en geluid."
cpb,1,De ongelijkheid in autobelastingen kan leiden tot sociale onvrede.,Sociaal & Maatschappelijk,Dit helpt beleidsmakers om beter te begrijpen hoe wijzigingen in autobelastingen verschillende inkomensgroepen beïnvloeden.
cpb,1,De afhankelijkheid van autobelastingen kan de economische stabiliteit beïnvloeden.,Economisch,De uitgaven en kortingen worden weergegeven ten opzichte van het besteedbare inkomen van huishoudens.
cpb,1,De maatschappelijke discussie rondom de betaalbaarheid van de auto.,Sociaal & Maatschappelijk,"De maatschappelijke discussie rondom de betaalbaarheid van de auto moet bekeken worden in relatie tot het gebrek aan mobiliteit, bereikbaarheid en het lokale aanbod van voorzieningen."
cpb,3,Stijging van de mediane armoede-intensiteit.,Sociaal & Maatschappelijk,Na 2021 loopt de doorsnee armoede-intensiteit op tot 20% in 2026.
cpb,3,Hoge armoede-intensiteit onder huishoudens met loon- of zelfstandigeninkomen.,Sociaal & Maatschappelijk,De groep mensen met een hoge armoede-intensiteit komt in 2026 meestal uit huishoudens met loon- of zelfstandigeninkomen als belangrijkste inkomensbron.
cpb,3,Mensen met een laag inkomen door een laag aantal gewerkte uren.,Sociaal & Maatschappelijk,Werknemers in armoede hebben vaak een lager inkomen vanwege een laag aantal gewerkte uren.
