Source,Filename,ThreatCount,ProcessedAt
knmi,0,15,2025-03-24T11:04:27.017148
knmi,1,8,2025-03-24T11:04:50.962756
knmi,2,4,2025-03-24T11:05:04.162310
knmi,3,125,2025-03-24T11:07:08.256950
knmi,4,21,2025-03-24T11:07:36.478378
knmi,5,0,2025-03-24T11:07:41.409112
knmi,6,19,2025-03-24T11:13:54.516425
knmi,7,0,2025-03-24T11:13:57.272213
knmi,8,11,2025-03-24T11:14:16.094353
knmi,9,19,2025-03-24T11:14:56.480483
knmi,10,0,2025-03-24T11:15:00.362029
knmi,11,8,2025-03-24T11:15:24.012150
knmi,12,19,2025-03-24T11:16:03.575794
knmi,13,10,2025-03-24T11:16:28.756522
knmi,14,8,2025-03-24T11:16:50.516958
knmi,15,19,2025-03-24T11:17:19.904099
knmi,16,7,2025-03-24T11:17:39.577929
knmi,17,13,2025-03-24T11:18:07.330263
knmi,18,22,2025-03-24T11:21:07.223529
knmi,19,12,2025-03-24T11:21:31.482088
knmi,20,22,2025-03-24T11:22:09.295404
knmi,22,8,2025-03-24T11:22:28.497542
knmi,23,10,2025-03-24T11:22:46.347110
knmi,27,1,2025-03-24T11:22:57.099636
knmi,28,6,2025-03-24T11:23:13.844340
knmi,29,10,2025-03-24T11:23:49.101754
knmi,30,7,2025-03-24T11:24:05.718414
knmi,31,12,2025-03-24T11:24:25.572700
knmi,32,24,2025-03-24T11:24:58.199759
knmi,33,8,2025-03-24T11:25:19.058704
knmi,34,41,2025-03-24T11:26:06.311777
knmi,35,25,2025-03-24T11:26:46.003303
knmi,36,20,2025-03-24T11:27:29.941664
knmi,37,24,2025-03-24T11:28:00.506138
knmi,38,12,2025-03-24T11:28:28.116990
knmi,39,20,2025-03-24T11:28:50.901498
knmi,44,10,2025-03-24T11:29:36.106463
knmi,46,19,2025-03-24T11:30:13.989263
knmi,48,5,2025-03-24T11:30:28.741848
knmi,49,9,2025-03-24T11:30:54.858346
knmi,52,2358,2025-03-24T11:34:57.351684
knmi,54,5,2025-03-24T11:35:11.781276
knmi,55,23,2025-03-24T11:35:38.852831
knmi,56,17,2025-03-24T11:36:02.662633
knmi,57,10,2025-03-24T11:36:24.680535
knmi,58,10,2025-03-24T11:36:40.192257
knmi,59,17,2025-03-24T11:37:00.115929
knmi,60,8,2025-03-24T11:37:14.873368
knmi,61,11,2025-03-24T11:37:33.210647
knmi,62,29,2025-03-24T11:38:08.130495
knmi,63,23,2025-03-24T11:38:33.630295
knmi,64,7,2025-03-24T11:39:02.987742
knmi,65,15,2025-03-24T11:39:37.522883
knmi,66,7,2025-03-24T11:39:59.141926
knmi,70,14,2025-03-24T11:40:18.334236
knmi,71,26,2025-03-24T11:40:59.078370
knmi,73,1,2025-03-24T11:41:05.670486
knmi,75,13,2025-03-24T11:41:40.497316
knmi,76,10,2025-03-24T11:42:04.468630
knmi,77,15,2025-03-24T11:42:38.971137
knmi,78,10,2025-03-24T11:43:10.947595
knmi,79,13,2025-03-24T11:43:31.737286
knmi,80,10,2025-03-24T11:43:59.443553
knmi,81,6,2025-03-24T11:44:13.499962
knmi,82,16,2025-03-24T11:44:33.032454
knmi,83,13,2025-03-24T11:44:57.421380
knmi,85,15,2025-03-24T11:45:30.512667
knmi,87,14,2025-03-24T11:46:03.319514
knmi,88,6,2025-03-24T11:46:20.546951
knmi,89,2,2025-03-24T11:46:32.010965
knmi,90,12,2025-03-24T11:46:58.673179
knmi,91,27,2025-03-24T11:47:30.908978
knmi,92,15,2025-03-24T11:47:59.494651
knmi,93,14,2025-03-24T11:48:22.763637
knmi,95,13,2025-03-24T11:48:38.182072
knmi,96,41,2025-03-24T11:49:11.170725
knmi,100,10,2025-03-24T11:49:47.956047
knmi,102,7,2025-03-24T11:50:14.617655
knmi,103,9,2025-03-24T11:50:36.167886
knmi,104,166,2025-03-24T11:53:06.579348
knmi,105,10,2025-03-24T11:53:27.054173
knmi,106,15,2025-03-24T11:53:49.389181
knmi,107,7,2025-03-24T11:54:11.921395
