Source,Filename,Oorzaak,Gevolg,Citaat
knmi,0,De frequentie en intensiteit van bosbranden neemt wereldwijd toe.,De risico's en impact van bosbranden in Nederland worden verwacht te verergeren.,Wildfire occurrence and intensity are increasing globally as a result of climate change. This trend is also observed in the Netherlands and wildfire risks and impacts are projected to worsen in the near future.
knmi,0,De risico's en impact van bosbranden in Nederland worden verwacht te verergeren.,Huidige strategieën voor bosbrandbeheer zijn niet duurzaam.,It is evident that current wildfire strategies are not sustainable with the increasing risks.
knmi,0,Huidige strategieën voor bosbrandbeheer zijn niet duurzaam.,"De noodzaak van evacuaties door bosbranden, wat kwetsbare gemeenschappen kan beïnvloeden.",This trend is also observed in the Netherlands and wildfire risks and impacts are projected to worsen in the near future.
knmi,0,De onvoorbereidheid van de Nederlandse hulpdiensten voor toekomstige bosbranden.,De effectiviteit van brandbestrijdingsinspanningen beïnvloedt de verspreiding van natuurbranden.,"Regarding the institute's expertise in weather- and climate-related research and developing data-driven technologies, stakeholders perceive KNMI as a potential valuable contributor to wildfire research and developments."
knmi,9,Verhoogde frequentie en intensiteit van hittegolven door klimaatverandering.,Hogere temperaturen tijdens hittegolven in vergelijking met een wereld zonder klimaatverandering.,In all the regions a heatwave of the same likelihood as the one observed today would have been significantly cooler in a world without climate change.
knmi,9,Extreme hitte leidt tot duizenden doden.,Onvoldoende registratie van hittegerelateerde sterfgevallen.,"Many places lack good record-keeping of heat-related deaths, therefore currently available global mortality figures are likely an underestimate."
knmi,9,Extreme hitte leidt tot duizenden doden.,Extreme hitte heeft een negatieve impact op de gezondheid van kwetsbare groepen.,"Beyond its effects on human health, the heatwave has also led to record-breaking power demand increases across China."
knmi,9,Extreme hitte heeft een negatieve impact op de gezondheid van kwetsbare groepen.,De intensiteit van klimaatgerelateerde gebeurtenissen is toegenomen.,"The elderly, young children, outdoor workers, and people living in homelessness and displacement are disproportionately affected by the high temperatures currently scorching the Northern Hemisphere."
knmi,12,De snelle evolutie van kleine schaal oceandynamiek.,De impact van kleine schaal processen op de oceanen en het klimaat.,"Research shows that small-scale processes have far-ranging impacts on lateral dispersion, vertical stratification, ocean carbon cycling, and marine productivity."
knmi,12,De impact van kleine schaal processen op de oceanen en het klimaat.,De gevolgen van klimaatverandering voor oceaanmarges zijn onzeker.,"New high-quality high-resolution current, wind and wave images are needed to better understand these processes, improve their representation in models, increase the reliability of forecasts and reduce uncertainties in projections about the ocean margins response to climate change."
knmi,14,De onderschatting van extreme hitte door klimaatmodellen.,De onzekerheid in de schattingen van temperatuurtrends is groot.,De conclusie was dat het modelleren van extreme hitte en het duiden van de relatie met klimaatverandering nog een belangrijke wetenschappelijke uitdaging vormt.
knmi,14,Problemen met waarnemingen voor modelvalidatie en inhomogeniteit van lange waarnemingsreeksen.,De onzekerheid in de schattingen van temperatuurtrends is groot.,Lange waarneemreeksen zijn vaak inhomogeen door veranderingen in waarneemlocatie en/of meetmethoden. Deze inhomogeniteiten kunnen leiden tot een onder- of overschatting van gemiddelden en extremen.
knmi,14,Problemen met waarnemingen voor modelvalidatie en inhomogeniteit van lange waarnemingsreeksen.,De variabiliteit en onzekerheden in temperatuurdata zijn significant.,Lange waarneemreeksen zijn vaak inhomogeen door veranderingen in waarneemlocatie en/of meetmethoden.
knmi,14,De homogenisatie van temperatuurdata kan gevoelig zijn voor aannames.,De variabiliteit en onzekerheden in temperatuurdata zijn significant.,Het KNMI heeft daarom in 2016 de dagelijkse temperatuurreeksen van de vijf hoofdstations gehomogeniseerd.
