Source,Filename,ThreatCount,ProcessedAt
open_overheid,4,5,2025-03-24T11:04:15.222000
open_overheid,5,1,2025-03-24T11:04:16.774948
open_overheid,6,4,2025-03-24T11:04:34.908196
open_overheid,7,1,2025-03-24T11:04:40.289871
open_overheid,8,0,2025-03-24T11:04:43.424652
open_overheid,9,8,2025-03-24T11:05:09.589407
open_overheid,11,5,2025-03-24T11:05:40.744082
open_overheid,12,10,2025-03-24T11:06:17.687159
open_overheid,13,4,2025-03-24T11:06:33.076221
open_overheid,14,5,2025-03-24T11:06:46.209376
open_overheid,15,20,2025-03-24T11:07:14.608693
open_overheid,16,5,2025-03-24T11:07:32.638727
open_overheid,17,2,2025-03-24T11:07:37.691227
open_overheid,18,5,2025-03-24T11:08:08.634959
open_overheid,20,6,2025-03-24T11:08:48.327947
open_overheid,21,10,2025-03-24T11:09:24.253866
open_overheid,22,2,2025-03-24T11:09:30.097009
open_overheid,23,10,2025-03-24T11:10:03.095328
open_overheid,24,13,2025-03-24T11:10:37.441283
open_overheid,25,1,2025-03-24T11:10:42.626941
open_overheid,26,3,2025-03-24T11:10:52.411726
open_overheid,27,7,2025-03-24T11:11:09.316496
open_overheid,28,3,2025-03-24T11:11:20.513150
open_overheid,29,6,2025-03-24T11:11:44.906920
open_overheid,30,22,2025-03-24T11:12:30.339574
open_overheid,31,30,2025-03-24T11:13:28.350153
open_overheid,33,14,2025-03-24T11:14:16.302487
open_overheid,34,8,2025-03-24T11:15:23.592511
open_overheid,35,10,2025-03-24T11:16:00.284821
open_overheid,36,10,2025-03-24T11:16:24.110404
open_overheid,37,82,2025-03-24T11:18:18.980901
open_overheid,38,10,2025-03-24T11:18:43.943361
open_overheid,39,1,2025-03-24T11:18:47.755979
open_overheid,40,1,2025-03-24T11:18:53.022439
open_overheid,41,8,2025-03-24T11:19:14.459296
open_overheid,42,14,2025-03-24T11:19:54.959754
open_overheid,43,3,2025-03-24T11:20:09.574418
open_overheid,48,17,2025-03-24T11:20:53.707025
open_overheid,49,10,2025-03-24T11:21:28.624533
open_overheid,54,5,2025-03-24T11:21:44.197120
open_overheid,55,1,2025-03-24T11:21:51.357588
open_overheid,56,6,2025-03-24T11:22:21.985723
open_overheid,57,3,2025-03-24T11:22:42.988075
open_overheid,58,14,2025-03-24T11:23:15.079424
open_overheid,59,12,2025-03-24T11:23:52.313682
open_overheid,60,9,2025-03-24T11:24:26.623834
open_overheid,61,17,2025-03-24T11:25:28.394636
open_overheid,62,14,2025-03-24T11:26:02.074661
open_overheid,63,8,2025-03-24T11:26:26.021401
open_overheid,64,13,2025-03-24T11:27:09.976435
open_overheid,65,15,2025-03-24T11:27:47.424302
open_overheid,66,15,2025-03-24T11:28:20.179418
open_overheid,67,6,2025-03-24T11:28:43.879992
open_overheid,69,2,2025-03-24T11:28:51.888696
open_overheid,70,4,2025-03-24T11:29:09.481620
open_overheid,71,10,2025-03-24T11:29:30.475035
open_overheid,72,2,2025-03-24T11:29:51.365469
open_overheid,73,5,2025-03-24T11:30:09.692631
open_overheid,74,5,2025-03-24T11:30:27.732408
open_overheid,76,3,2025-03-24T11:30:44.868688
open_overheid,77,12,2025-03-24T11:34:57.129689
open_overheid,80,3,2025-03-24T11:35:19.756367
open_overheid,82,2,2025-03-24T11:35:33.586156
open_overheid,88,4,2025-03-24T11:35:41.931573
open_overheid,89,43,2025-03-24T11:36:43.208837
open_overheid,94,1,2025-03-24T11:37:01.275992
open_overheid,96,1,2025-03-24T11:37:13.128626
open_overheid,97,6,2025-03-24T11:37:30.999427
open_overheid,98,5,2025-03-24T11:37:40.460632
open_overheid,99,19,2025-03-24T11:38:18.588809
open_overheid,100,10,2025-03-24T11:38:38.489069
