Source,Filename,Oorzaak,Gevolg,Citaat
open_overheid,4,Schade aan Nederlandse publieke belangen.,Ongewenste buitenlandse inmenging.,"Proactief optreden wanneer Nederlandse publieke belangen worden geschaad, leidt tot ongewenste buitenlandse inmenging."
open_overheid,4,Aanwezigheid van apparatuur of programmatuur van organisaties met een tegen Nederland gerichte offensieve cyberagenda.,Spionageactiviteiten.,De aanwezigheid van apparatuur of programmatuur van organisaties met een tegen Nederland gerichte offensieve cyberagenda resulteert in spionageactiviteiten.
open_overheid,6,De opleving van rechtsextremisme wereldwijd.,De radicalisering van eenlingen onder de radar.,"De zorgen die zijn weergegeven in het jaarverslag van de AIVD en het DTN zijn herkenbaar en worden onderschreven door de toename van rechts-extremistisch geweld in landen als Duitsland, Groot-Brittannië en de VS."
open_overheid,6,De radicalisering van eenlingen onder de radar.,De groei van online activiteiten van rechts-extremistische fora.,De NCTV en de AIVD waarschuwen voor het accelerationistische discours online dat eenlingen in Nederland kan radicaliseren en activeren.
open_overheid,6,De groei van online activiteiten van rechts-extremistische fora.,De verspreiding van haatzaaiend gedachtegoed in Nederland.,"Wereldwijd is er sprake van een gestage groei van online activiteiten op fora en kanalen die anti-LHBTQ, anti-vrouw, anti-semitisch en anti-overheid zijn."
open_overheid,9,Bedreiging en intimidatie van ambtenaren en deurwaarders door soevereinen.,Moeilijkheden in de samenwerking tussen lokale en nationale overheid.,Het is diepingrijpend voor alle personen en hun gezinnen die dit meemaken. Ook kan het de taakuitvoering van overheidsinstanties en lokale professionals hinderen.
open_overheid,9,Doxing van beroepsbeoefenaars door soevereinen.,Bedreiging en intimidatie van ambtenaren en deurwaarders door soevereinen.,"Bekend is dat in de praktijk, naast eventuele andere strafbare feiten zoals bedreiging, er sprake is van doxing van beroepsbeoefenaars door soevereinen."
open_overheid,9,Verlies van legitimiteit van de overheid door soevereinen.,Verzet van soevereinen tegen het huidige systeem.,In het uiterste geval willen sommige soevereinen zich met geweld verzetten tegen het huidige systeem of geloven ze dat de kwaadaardige elite een gewelddadige strijd zal initiëren waarop zij zich moeten voorbereiden.
open_overheid,9,Bedreiging en intimidatie van ambtenaren en deurwaarders door soevereinen.,Radicalisering en extremisme binnen de samenleving.,"Dit geldt ook voor ambtenaren en gerechtsdeurwaarders. In het afgelopen halfjaar was er dan ook een toename te zien in het aantal voorvallen waarbij soevereinen zich schuldig maakten aan bedreiging, intimidatie en relatief lichte geweldsincidenten."
open_overheid,11,Hybride dreigingen ondermijnen de democratische rechtsorde.,Afhankelijkheid van andere geopolitieke spelers kan toenemen door hybride dreigingen.,Als gevolg van de toenemende hybride dreigingen neemt ook de behoefte toe om ongewenste afhankelijkheden van andere geopolitieke spelers te verminderen.
open_overheid,11,Hybride dreigingen ondermijnen de democratische rechtsorde.,Schuivende geopolitieke machtsverhoudingen beïnvloeden de veiligheidssituatie.,Als gevolg van schuivende geopolitieke machtsverhoudingen en toegenomen geopolitieke rivaliteit hebben Nederland en zijn bondgenoten in toenemende mate te maken met hybride dreigingen.
open_overheid,11,Cyberaanvallen zijn een sterke destabiliserende factor.,Schuivende geopolitieke machtsverhoudingen beïnvloeden de veiligheidssituatie.,Hybride dreigingen in de vorm van bijvoorbeeld cyberaanvallen en de beïnvloeding van democratische processen zijn echter een sterke destabiliserende factor geworden die de veiligheidssituatie in de wereld negatief beïnvloed.
open_overheid,12,Afnemende economische openheid door geopolitieke spanningen.,Ondermijning van democratische processen door staten.,"Een eerste gevolg is toenemende spanningen tussen grote mogendheden, met name tussen China en de VS en tussen Rusland en het westen. Landen richten zich onder meer op ondermijning van democratische processen."
open_overheid,12,Verhoogde kwetsbaarheid voor spionage en sabotage door digitalisering.,Verlies van gevoelige informatie door digitale diefstal.,"Ten tweede zijn bestaande bedrijven die beschikken over gevoelige informatie kwetsbaarder voor diefstal, nu informatie steeds vaker digitaal wordt bewaard."
open_overheid,13,De zoönotische dreiging van het vogelgriepvirus kan ziekte bij mensen veroorzaken.,Aviaire influenza vormt een nieuwe bedreiging voor de volksgezondheid in Europa.,"Dat klopt, maar het risico is zeer beperkt. Besmetting van mensen met de voorkomende stammen van vogelgriep gebeurt op dit moment alleen door direct en intensief contact met besmette dieren, bijvoorbeeld in Europa door onvoldoende bescherming bij ruiming van besmette bedrijven of intensief samenleven met besmette dieren."
open_overheid,13,Voortdurend optredende veranderingen in het vogelgriepvirus.,De mogelijkheid van transmissie van het vogelgriepvirus van vogels naar zoogdieren.,"De auteurs verbonden aan de ECDC, EFSA en het Europees referentie laboratorium wijzen op (1) de mogelijkheid van transmissie van vogels naar mensen, (2) transmissie van vogels naar zoogdieren, (3) vondsten van virussen met mutaties en (4) voortdurend optredende veranderingen in het virus."
open_overheid,16,Desinformatie ondermijnt de democratie.,Heimelijke beïnvloeding van de publieke opinie door statelijke actoren.,De verspreiding van desinformatie met als doel de democratische rechtsorde te ondermijnen en destabiliseren is een reële dreiging.
open_overheid,16,Heimelijke beïnvloeding van de publieke opinie door statelijke actoren.,Desinformatie ondermijnt de democratie.,De inzet van het kabinet is daarbij gericht op het tegengaan van heimelijke beïnvloeding van de publieke opinie door statelijke actoren.
open_overheid,16,Manipulatie van beeld en geluid door nieuwe technologie zoals artificiële intelligentie.,Onzekerheid over de betrouwbaarheid van informatie op internet.,Het kunnen onderscheiden wat echt is en wat nep is zal daardoor moeilijker worden.
open_overheid,18,De wereldwijde toename van vrouwelijke genitale verminking heeft impact op de situatie in Nederland.,Er is een gebrek aan preventieve maatregelen tegen vrouwelijke genitale verminking.,"Welke impact heeft dit op de situatie in Nederland, en ziet u hier een reden in om extra preventieve maatregelen te nemen?"
open_overheid,20,De jihadistische dreiging blijft de voornaamste terroristische dreiging tegen Nederland.,De dreiging van aanslagen is nog steeds reëel.,De jihadistische dreiging blijft de voornaamste terroristische dreiging tegen Nederland. [...] De dreiging van aanslagen is nog steeds reëel.
open_overheid,21,De dreiging van terroristische aanslagen door ISIS.,De aanhoudende hoge dreiging van jihadisme in Europa.,De oorlog in Gaza is een belangrijke aanjagende factor voor de jihadis>sche dreiging in Europa.
open_overheid,21,De snelle online radicalisering van jongeren neemt toe.,De dreiging van alleenhandelende daders geïnspireerd door ISIS.,"Wat de jihadis>sche jongeren betrekt, zij komen online relatief eenvoudig in contact met leden van ISIS die hen proberen te s>muleren tot een uitreis of een aanslag."
open_overheid,21,De radicalisering van jongeren tot jihadisten.,De dreiging van terroristische aanslagen door ISIS.,Jihadistische jongeren komen online relatief eenvoudig in contact met ISIS-leden die hen proberen aan te zetten tot een aanslag.
open_overheid,21,De actiebereidheid van extremistische groepen.,De geweldsdreiging van soevereinen in Nederland.,Ondanks de arrestaties gaat er nog steeds een geweldsdreiging uit van de kleine groep geweldsbereide soevereinen.
open_overheid,24,Digitale aanvallen op niet-vitale aanbieders.,Maatschappelijke gevolgen door gebrek aan informatie.,Er is in toenemende mate sprake van (geslaagde) digitale aanvallen op andere aanbieders. 
open_overheid,24,Onvoldoende informatievoorziening aan aanbieders.,Risico op succesvolle installatie van gijzelsoftware.,"Als dreigings- of incidentinformatie over de netwerk- en informatiesystemen van deze andere aanbieders bij hen terecht was gekomen, dan hadden deze nadelige gevolgen mogelijk kunnen worden voorkomen of had de impact van deze aanvallen mogelijk kunnen worden beperkt."
open_overheid,24,Onvoldoende informatievoorziening aan aanbieders.,Risico op onvoldoende vertrouwelijke omgang met gegevens.,"Indien die informatie niet bij andere aanbieders bekend raakt, kan dit tot gevolg hebben dat één of meer van hun netwerk- en informatiesystemen kwetsbaar blijven."
open_overheid,24,Kwetsbaarheid van netwerk- en informatiesystemen.,Risico op succesvolle installatie van gijzelsoftware.,Hierdoor bestaat een vergroot risico op bijvoorbeeld het door derden succesvol installeren van gijzelsoftware (ransomware) waarmee bestanden worden versleuteld.
open_overheid,24,Kwetsbaarheid van netwerk- en informatiesystemen.,Binnendringen van systemen door derden.,Een ander risico is bijvoorbeeld het door derden binnendringen van de systemen om kennis te nemen van de daarin aanwezige gegevens of om deze te wijzigen.
open_overheid,24,Onvoldoende technische en organisatorische beveiligingsmaatregelen bij organisaties.,Risico op continuïteit van dienstverlening van aanbieders.,Dit heeft als nadelig maatschappelijk gevolg dat de beschikbaarheid of betrouwbaarheid van hun netwerk- en informatiesystemen en daarmee de continuïteit van de dienstverlening van die andere aanbieders in gevaar komt.
open_overheid,28,Vertraging in de verspreiding van dreigings- en incidentinformatie.,Risico op digitale dreigingen door gebrek aan informatie.,"De inwerkingtreding van deze wet op een eerder moment dan 1 januari 2023 kan namelijk zulke ongewenste private of publieke nadelen voorkomen. Met een eerdere inwerkingtredingsdatum kan dreigings- en incidentinformatie immers eerder bij partijen belanden, waarmee zij digitale dreigingen kunnen voorkomen en de gevolgen van digitale incidenten kunnen beperken."
open_overheid,29,De militaire dreiging van Rusland voor Nederland.,De hybride dreiging van Rusland tegen het democratische proces in het Westen.,"In het jaarverslag 2023 van de MIVD staat nadrukkelijk dat de grootschalige Russische invasie van Oekraïne aantoont dat dreigingen kunnen omslaan in militair geweld met verstrekkende gevolgen, ook op het Europees continent."
open_overheid,29,De hybride dreiging van Rusland tegen het democratische proces in het Westen.,De militaire dreiging van Rusland voor Nederland.,Rusland probeert de Europese veiligheidsstructuren ingrijpend te wijzigen door de NAVO en de EU te ondermijnen.
open_overheid,29,De hybride dreiging van China op het gebied van spionage.,Digitale sabotage met grote impact op de Nederlandse samenleving.,"De AIVD en de MIVD zagen in 2023 verschillende buitenlandse cyberoperaties, waaronder Russische en Chinese, die gericht waren tegen Europese en NAVO-bondgenootschappelijke doelwitten."
open_overheid,29,De hybride dreiging van Rusland tegen het democratische proces in het Westen.,De dreiging van fysieke sabotage van vitale infrastructuur.,Dit zorgt in het beste geval voor een aanhoudende financiële en/of materiële inzet van het Westen.
open_overheid,30,Koranvernielingen hebben Nederland op de radar van jihadistische organisaties gezet.,Nederland wordt expliciet genoemd als doelwit door jihadistische groeperingen.,Als gevolg van recente koranvernielingen in ons land (zie kader Koranvernielingen in Nederland en Zweden) is Nederland echter nog nadrukkelijker in beeld gekomen.
open_overheid,30,Koranvernielingen hebben Nederland op de radar van jihadistische organisaties gezet.,De terroristische dreiging vanuit jihadistische organisaties is toegenomen.,"Verscheidene pro-ISIS kanalen hebben via sociale media opgeroepen tot vergeldingsacties tegen westerse landen, waaronder expliciet Zweden en in mindere mate Nederland."
open_overheid,30,De aanwezigheid van ISIS-aanhangers in Europa vergroot de kans op aanslagen.,De terroristische dreiging vanuit jihadistische organisaties is toegenomen.,In Europa en in Nederland verblijven ISIS-aanhangers die onderdeel uitmaken van transnationale jihadistische netwerken. Zij hebben de intentie om in Europa aanslagen te plegen.
open_overheid,30,"De Afghaanse tak van ISIS, ISKP, vormt een groeiende terroristische dreiging richting het Westen.",Aanslagen vanuit rechts-extremistische hoek zijn voorstelbaar.,"Na de machtsovername door de Taliban in augustus 2021 heeft de Afghaanse tak van ISIS, Islamitische Staat Khorasan Provincie (ISKP), aan kracht gewonnen."
