Source,Filename,Bedreiging,Categorie,Citaat
open_overheid,4,Schade aan Nederlandse publieke belangen.,Sociaal & Maatschappelijk,"Proactief optreden wanneer Nederlandse publieke belangen worden geschaad,"
open_overheid,4,Ongewenste buitenlandse inmenging.,Geopolitiek & militair,"Tegengaan van ongewenste buitenlandse inmenging,"
open_overheid,4,Economische veiligheid wordt bedreigd.,Economisch,"Bevorderen en beschermen van de economische veiligheid, waaronder kennisveiligheid,"
open_overheid,4,Aanwezigheid van apparatuur of programmatuur van organisaties met een tegen Nederland gerichte offensieve cyberagenda.,Technologisch & digitaal,een scan uit te voeren op de aanwezigheid van apparatuur of programmatuur van organisaties uit landen met een tegen Nederland gerichte offensieve cyberagenda;
open_overheid,4,Spionageactiviteiten.,Geopolitiek & militair,"opvolging gegeven aan elementen uit het coalitieakkoord, waaronder het wetsvoorstel uitbreiding strafbaarheid spionage."
open_overheid,5,De dreiging tegen Joodse instellingen.,Sociaal & Maatschappelijk,de concrete bedreigingen van Joodse instellingen
open_overheid,6,De opleving van rechtsextremisme wereldwijd.,Geopolitiek & militair,"de toename van rechts-extremistisch geweld in landen als Duitsland, Groot-Brittannië en de VS."
open_overheid,6,De verspreiding van haatzaaiend gedachtegoed in Nederland.,Sociaal & Maatschappelijk,groepen in de samenleving opgekomen die trachten zeer rechts-extremistisch gedachtegoed tot gemeengoed te maken.
open_overheid,6,De radicalisering van eenlingen onder de radar.,Sociaal & Maatschappelijk,eenlingen die mogelijk online en onder de radar radicaliseren.
open_overheid,6,De groei van online activiteiten van rechts-extremistische fora.,Technologisch & digitaal,"Wereldwijd is er sprake van een gestage groei van online activiteiten op fora en kanalen die anti-LHBTQ, anti-vrouw, anti-semitisch en anti-overheid zijn."
open_overheid,7,De dreiging van extreemrechts is een grote blinde vlek.,Sociaal & Maatschappelijk,Dreiging extreemrechts 'grote blinde vlek'
open_overheid,9,Bedreiging en intimidatie van ambtenaren en deurwaarders door soevereinen.,Sociaal & Maatschappelijk,"de verspreiding van complottheorieën, mis- en desinformatie er aan bij dat onder meer politici, wetenschappers en journalisten te maken krijgen met bedreiging, intimidatie en geweld."
open_overheid,9,Doxing van beroepsbeoefenaars door soevereinen.,Sociaal & Maatschappelijk,"Bekend is dat in de praktijk, naast eventuele andere strafbare feiten zoals bedreiging, er sprake is van doxing van beroepsbeoefenaars door soevereinen."
open_overheid,9,Weigering van soevereinen om te voldoen aan financiële verplichtingen.,Economisch,"weigerden daarom soms te voldoen aan de financiële verplichtingen die daaruit voortkomen en aan hen worden opgelegd, zoals het betalen van belastingen en boetes."
open_overheid,9,Verzet van soevereinen tegen het huidige systeem.,Geopolitiek & militair,sommige soevereinen willen zich met geweld verzetten tegen het huidige systeem of geloven dat de kwaadaardige elite een gewelddadige strijd zal initiëren.
open_overheid,9,Verlies van legitimiteit van de overheid door soevereinen.,Geopolitiek & militair,de meeste soevereinen vinden de overheid illegitiem.
open_overheid,9,Moeilijkheden in de samenwerking tussen lokale en nationale overheid.,Sociaal & Maatschappelijk,betere samenwerking tussen de lokale en nationale overheid en tussen partners uit het veiligheidsveld en het sociale domein.
open_overheid,9,Radicalisering en extremisme binnen de samenleving.,Sociaal & Maatschappelijk,gedragingen die kunnen leiden tot extremistische of terroristische activiteiten
open_overheid,9,Privacy en rechtsbescherming van burgers in gevaar.,Sociaal & Maatschappelijk,belang van privacy en rechtsbescherming van burgers
open_overheid,11,Hybride dreigingen ondermijnen de democratische rechtsorde.,Geopolitiek & militair,het ondermijnen van de democratische rechtsorde
open_overheid,11,Cyberaanvallen zijn een sterke destabiliserende factor.,Technologisch & digitaal,cyberaanvallen en de beïnvloeding van democratische processen zijn echter een sterke destabiliserende factor geworden.
open_overheid,11,Bewust gecreëerde migratiestromen kunnen als hybride dreiging worden ingezet.,Sociaal & Maatschappelijk,bewust gecreëerde migratiestromen
open_overheid,11,Afhankelijkheid van andere geopolitieke spelers kan toenemen door hybride dreigingen.,Economisch,de behoefte toe om ongewenste afhankelijkheden van andere geopolitieke spelers te verminderen.
open_overheid,11,Schuivende geopolitieke machtsverhoudingen beïnvloeden de veiligheidssituatie.,Geopolitiek & militair,schuivende geopolitieke machtsverhoudingen
open_overheid,12,Afnemende economische openheid door geopolitieke spanningen.,Economisch,Er zijn spanningen tussen grote mogendheden die bijdragen aan de toch al afnemende economische openheid in de wereld.
open_overheid,12,Ondermijning van democratische processen door staten.,Geopolitiek & militair,Landen richten zich onder meer op ondermijning van democratische processen en onrechtmatige verkrijging van civiele technologie t.b.v. militaire doeleinden.
open_overheid,12,Verlies van gevoelige informatie door digitale diefstal.,Technologisch & digitaal,"Bestaande bedrijven die beschikken over gevoelige informatie kwetsbaarder voor diefstal, nu informatie steeds vaker digitaal wordt bewaard."
open_overheid,12,Verhoogde kwetsbaarheid voor spionage en sabotage door digitalisering.,Geopolitiek & militair,"Met digitalisering heeft ook spionage en sabotage een vlucht genomen, al dan niet ondernomen door staten."
open_overheid,12,Toename van cybercrime en zorgen over digitale aanvallen.,Technologisch & digitaal,De verwachting is dat verschillende vormen van cybercrime zullen toenemen.
open_overheid,12,Maatschappelijk onbehagen door globalisering en klimaatverandering.,Sociaal & Maatschappelijk,"Zo zijn er groepen in de samenleving die onzekerheid ervaren door globalisering, weinig controle ervaren over hun toekomst, of zich zorgen maken over klimaat en milieu."
open_overheid,12,Afhankelijkheid van ICT-netwerken leidt tot kwetsbaarheid.,Technologisch & digitaal,De onbereikbaarheid van de nationale noodnummers op 24 juni 2019 maakte de (keten)afhankelijkheid van ICT-netwerken inzichtelijk.
open_overheid,12,Desinformatie als wapen in conflicten.,Geopolitiek & militair,informatie of desinformatie (‘nepnieuws’ of ‘alternatieve feiten’) een wapen is geworden.
open_overheid,12,Verlies van (gedeeltelijke) zeggenschap over vitale infrastructuren door buitenlandse investeringen.,Geopolitiek & militair,Buitenlandse investeringen en overnames leiden in Nederland tot verlies van (gedeeltelijke) zeggenschap over vitale infrastructuren.
open_overheid,12,"Toegenomen wereldwijde concurrentie in militaire, economische en politieke domeinen.",Geopolitiek & militair,Toegenomen wereldwijde concurrentie heeft implicaties voor de aard van bedreigingen.
open_overheid,13,De zoönotische dreiging van het vogelgriepvirus kan ziekte bij mensen veroorzaken.,Gezondheid,de zoönotische dreiging van het vogelgriepvirus
open_overheid,13,De mogelijkheid van transmissie van het vogelgriepvirus van vogels naar zoogdieren.,Gezondheid,(2) transmissie van vogels naar zoogdieren
open_overheid,13,Voortdurend optredende veranderingen in het vogelgriepvirus.,Gezondheid,(4) voortdurend optredende veranderingen in het virus
open_overheid,13,Aviaire influenza vormt een nieuwe bedreiging voor de volksgezondheid in Europa.,Gezondheid,"Avian influenza, a new threat to public health in Europe?"
open_overheid,14,Hybride dreigingen vormen een complexe uitdaging voor de EU.,Geopolitiek & militair,de complexe uitdagingen waarvoor hybride dreigingen de EU stellen
open_overheid,14,De weerbaarheid van de EU en haar partners is kwetsbaar.,Geopolitiek & militair,"het versterken van de weerbaarheid van de EU, de lidstaten en partners"
open_overheid,14,De implementatie van de richtlijn kritieke infrastructuur is noodzakelijk.,Sociaal & Maatschappelijk,de implementatie van de richtlijn kritieke infrastructuur
open_overheid,14,De bescherming van vitale infrastructuur is een belangrijk onderwerp.,Sociaal & Maatschappelijk,het thema weerbare vitale infrastructuur geagendeerd in de Raadswerkgroep civiele bescherming
open_overheid,14,De evaluatie van de richtlijn heeft geleid tot beperkte uitbreiding van sectoren.,Economisch,de evaluatie van de richtlijn door de Europese Commissie in 2011 heeft geleid tot de conclusie dat er geen andere sectoren zullen worden toegevoegd
open_overheid,15,Onvoldoende evaluatie van contraterrorisme-maatregelen.,Sociaal & Maatschappelijk,"""de regering verzocht zich ervoor in te zetten dat er verbetermaatregelen genomen worden om de kwaliteit van de evaluatie van contraterrorisme maatregelen te verhogen."""
open_overheid,15,Financiële middelen zijn noodzakelijk voor effectieve evaluatie van terrorismebestrijding.,Economisch,"""het verkrijgen van inzicht in de effectiviteit van beleid tijd, expertise, vaardigheden, mankracht en dus financiële middelen vergt."""
open_overheid,15,Gemeenten hebben onvoldoende ondersteuning bij radicaliseringsbeleid.,Sociaal & Maatschappelijk,"""de verdere behoefte van gemeenten aan ondersteuning bij de vormgeving van radicaliseringsbeleid te inventariseren"""
open_overheid,15,Gemeenten kunnen nieuwe ontwikkelingen en dreigingen niet zelfstandig detecteren.,Sociaal & Maatschappelijk,"""Doel van het Rijksbeleid is gemeenten in staat te stellen om zelfstandig nieuwe ontwikkelingen en dreigingen te kunnen detecteren"""
open_overheid,15,Effectiviteit van preventiebeleid is niet gegarandeerd.,Sociaal & Maatschappelijk,"""Het kabinet streeft ernaar de effectiviteit van het preventiebeleid verder te vergroten."""
open_overheid,15,Jihadisme blijft de bepalende factor in het dreigingsbeeld.,Geopolitiek & militair,"""Omdat het jihadisme nog altijd de bepalende factor in het dreigingsbeeld is, is bijzondere aandacht voor het jihadisme in de aanpak van extremisme en radicalisering gerechtvaardigd."""
open_overheid,15,Radicalisering naar links- of rechts-extremistisch gedachtengoed.,Geopolitiek & militair,"""het zaak om te voorkomen dat personen radicaliseren naar links- of rechts-extremistisch gedachtengoed."""
open_overheid,15,Scholen die basiswaarden ondermijnen worden niet adequaat aangesproken.,Sociaal & Maatschappelijk,"""Scholen die in strijd handelen met basiswaarden van de democratische rechtsstaat worden daar door de inspectie op aangesproken."""
