Source,Filename,Oorzaak,Gevolg,Citaat
scp,1,Laag vertrouwen in de politiek onder de bevolking.,Zorgen over de samenwerking en competentie van bewindspersonen.,"Mensen noemen in december 2024 drie (samenhangende) zorgen voor hun gebrek aan vertrouwen: mensen vinden de regering niet daadkrachtig genoeg in het oplossen van problemen, ze zijn bezorgd over de slechte samenwerking binnen het kabinet en ze vinden bewindspersonen niet competent."
scp,1,Somberheid over de richting van het land.,Zorgen over de samenwerking en competentie van bewindspersonen.,"Het maatschappelijk pessimisme schommelt over tijd, maar over het algemeen is de grootste groep somber over de richting die het met Nederland opgaat."
scp,1,Somberheid over de richting van het land.,Laag vertrouwen in de politiek onder de bevolking.,57% vindt het de verkeerde kant opgaan in Nederland.
scp,1,Tekort aan betaalbare woningen en zorgen over immigratie.,Somberheid over de richting van het land.,De stemming over het land was en blijft somber: 57% vindt het de verkeerde kant opgaan. Het tekort aan betaalbare woningen en immigratie zijn de meestgenoemde maatschappelijke problemen.
scp,1,Zorgen over armoede en inkomensverschillen.,Somberheid over de richting van het land.,"Direct daarna volgen zorgen over de politiek, over armoede en hoge prijzen, en over sociale omgangsvormen."
scp,3,Sociale ongelijkheid verzwakt sociale cohesie.,De erosie van sociale banden door individualisering.,Zo schaadt toenemende ongelijkheid in algemene zin sociale cohesie.
scp,3,Digitalisering vergroot bestaande ongelijkheden.,Digitale ongelijkheid beïnvloedt sociale cohesie.,Digitale technologieën kunnen zowel de trends van ongelijkheid als van individualisering versterken.
scp,3,Individualisering leidt tot verlies van sociale verbindingen.,De erosie van sociale banden door individualisering.,"Het moderne proces van individualisering is in meerdere opzichten ambivalent: het zorgt voor emancipatie en progressie, maar ook voor lossere sociale verbanden."
scp,3,De opkomst van de netwerkmaatschappij kan leiden tot een afname van sociale cohesie.,Sociale ongelijkheid verzwakt sociale cohesie.,"De tweeledige probleemstelling van onze toekomstverkenning luidt als volgt: Welke toekomstige ontwikkelingen zijn bij sociale cohesie voorstelbaar als we focussen op digitalisering, ongelijkheden en individualisering?"
scp,3,Ongelijkheid in toegang tot digitale middelen.,Digitale ongelijkheid beïnvloedt sociale cohesie.,Digitalisering vergroot bestaande ongelijkheden.
scp,6,Tekort aan passende en betaalbare woningen.,Jongvolwassenen wonen langer bij hun ouders.,"Het tekort aan passende en betaalbare woningen heeft grote gevolgen, zowel voor de individuele levens van mensen als voor de samenleving. Zo wonen jongvolwassenen langer bij hun ouders."
scp,6,Tekort aan passende en betaalbare woningen.,Afstand van burgers tot het systeem van woningbeleid.,"Het tekort aan passende en betaalbare woningen heeft grote gevolgen, zowel voor de individuele levens van mensen als voor de samenleving. Dit heeft ook invloed op de afstand van burgers tot het systeem van woningbeleid."
scp,7,Verlies van sociale cohesie door demografische veranderingen.,Verlies van vertrouwen in instituties.,"Wanneer mensen niet op elkaar lijken in hun gewoonten, opvattingen en belangen, kan het lastiger zijn zich onderling te verbinden, wat kan leiden tot verlies van vertrouwen in instituties."
scp,7,Verlies van sociale cohesie door demografische veranderingen.,Afname van sociale participatie.,"Als de bevolking in de toekomst van samenstelling verandert, kan dat de sociale cohesie beïnvloeden, wat resulteert in een afname van sociale participatie."
scp,8,Etnische diversiteit in buurten vermindert sociale cohesie.,Verlies van sociale cohesie door diversiteit.,De algemene aanname van veel beleidsmakers is dat de sociale cohesie wordt verzwakt door processen die de samenleving meer divers hebben gemaakt.
scp,8,Etnische diversiteit in buurten vermindert sociale cohesie.,Minder sociale cohesie in buurten.,"In superdiverse wijken zou het lastig zijn ‘publieke vertrouwdheid’ te bereiken vanwege problemen met veiligheid, verloedering en sociaal-economische achterstanden."
scp,8,Spanningen tussen verschillende bevolkingsgroepen in de buurt.,Verlies van sociale cohesie door diversiteit.,Die veronderstellen dat er in een diverse omgeving minder cohesie is vanwege ofwel ervaren conflicten tussen bevolkingsgroepen.
scp,8,Spanningen tussen verschillende bevolkingsgroepen in de buurt.,Minder sociale cohesie in buurten.,"In superdiverse wijken zou het lastig zijn ‘publieke vertrouwdheid’ te bereiken vanwege problemen met veiligheid, verloedering en sociaal-economische achterstanden."
scp,10,De coronapandemie heeft risico's voor de gezondheid van de inwoners van Nederland.,De coronapandemie heeft geleid tot vragen over welke risico’s en lasten burgers willen delen.,"De coronapandemie heeft risico's voor de gezondheid van de inwoners van Nederland, wat heeft geleid tot vragen over welke risico’s en lasten burgers willen delen."
scp,10,De coronapandemie heeft geleid tot een beroep op solidariteit van burgers.,De kwaliteit van leven van inwoners van Nederland wordt beïnvloed door internationale gebeurtenissen.,"De coronapandemie heeft geleid tot een beroep op solidariteit van burgers, wat de kwaliteit van leven van inwoners van Nederland beïnvloedt."
scp,13,Onzekerheid over de armoedegrens in Nederland.,Inadequate methoden voor het meten van armoede.,Deze grenzen gingen gepaard met verschillende uitkomsten over armoede en dat leidde met regelmaat tot onduidelijkheid in het publieke debat en bij beleid.
scp,13,Inadequate methoden voor het meten van armoede.,Veranderende maatschappelijke behoeften die niet worden weerspiegeld in de armoedemeting.,Daarnaast werden de methoden om armoede te meten niet voldoende geactualiseerd en zijn ze soms ingehaald door maatschappelijke veranderingen.
scp,13,Hoge kosten van levensonderhoud die huishoudens onder druk zetten.,Langdurige armoede onder een deel van de bevolking.,Vernieuwing was nodig om recht te doen aan ontwikkelingen als de sterk gestegen woon- en energie­lasten.
scp,13,Langdurige armoede onder een deel van de bevolking.,Onvoldoende sociale participatie door financiële beperkingen.,Een methode waarin daarnaast meetelt of er spaargeld is of ander bezit waarmee mensen snel en tijdelijk een te laag inkomen op kunnen vangen.
scp,13,Langdurige armoede onder een deel van de bevolking.,Negatieve gevolgen van armoede voor lichamelijke en mentale gezondheid.,"Wij hopen dat de samenleving, de landelijke en lokale politiek, de wetenschap, maatschappelijke organisaties en andere betrokkenen de nieuwe armoedegrens omarmen als een waardevol instrument om grip te krijgen op het complexe probleem van armoede."
