Source,Filename,Bedreiging,Categorie,Citaat
scp,0,Democratische erosie door veronachtzaming van rechtsstatelijke waarden.,Sociaal & Maatschappelijk,‘democratische erosie’ (zie o.a. Honingh en Van Ham 2024)
scp,0,Beperkt rechtsstatelijk bewustzijn onder de bevolking.,Sociaal & Maatschappelijk,empirische aanwijzingen voor beperkt rechtsstatelijk bewustzijn in Nederland
scp,0,Afname van steun voor parlementaire controle ten gunste van daadkrachtig bestuur.,Sociaal & Maatschappelijk,deze grote steun voor parlementaire controle neemt af als mensen gevraagd worden te kiezen tussen parlementaire controle en daadkrachtig bestuur
scp,0,Perceptie dat controlerende machten de wil van het volk tegenwerken.,Sociaal & Maatschappelijk,Mensen zien de controlerende macht van het parlement en de rechtspraak niet altijd als bescherming van burgers tegen machtsmisbruik door de regering
scp,0,Afname van de legitimiteit van de overheid.,Sociaal & Maatschappelijk,Overheidslegitimiteit in SCP-onderzoek
scp,0,Verlies van democratische waarden onder jongeren.,Sociaal & Maatschappelijk,Jongeren over democratische waarden
scp,1,Laag vertrouwen in de politiek onder de bevolking.,Sociaal & Maatschappelijk,In de (na)zomer van 2024 is het vertrouwen in de politiek laag.
scp,1,Zorgen over de samenwerking en competentie van bewindspersonen.,Sociaal & Maatschappelijk,ze vinden bewindspersonen niet competent.
scp,1,Somberheid over de richting van het land.,Sociaal & Maatschappelijk,57% vindt het de verkeerde kant opgaan.
scp,1,Tekort aan betaalbare woningen en zorgen over immigratie.,Sociaal & Maatschappelijk,Het tekort aan betaalbare woningen en immigratie zijn de meestgenoemde maatschappelijke problemen.
scp,1,Zorgen over armoede en inkomensverschillen.,Sociaal & Maatschappelijk,de (in ogen van mensen) grote inkomensverschillen en armoede.
scp,1,Onzekerheid over de democratie door steun voor krachtige leiders.,Geopolitiek & militair,Een minderheid van 28% is het eens met de stelling dat het goed zou zijn als het landsbestuur werd overgelaten aan een paar krachtige leiders.
