Source,Filename,Oorzaak,Gevolg,Citaat
tno,63,Ontbreken van toekomstperspectief kan negatieve gedragsverandering stimuleren.,Verhoogde beïnvloedbaarheid door antisociale personen.,Er is meer nadruk gelegd op de dynamiek rondom toekomstperspectief.
tno,63,Antisociaal handelen kan leiden tot nieuwe veroordelingen.,Stigma van eerdere delicten kan antisociaal gedrag bevestigen.,In de casus werd door de schuldhulpverlener aangegeven dat dit een medische casus betrof.
tno,63,Psychische problematiek kan attitudes en handelen beïnvloeden.,Beperkingen in het functioneren door psychische problematiek.,Met deze kennis kan een schuldhulpverlener juist een belangrijke rol op zich nemen naast de benodigde medische ondersteuning.
tno,63,Weinig structuur in het leven van gedetineerden.,Moeilijkheid om prosociale relaties te stimuleren binnen een gesloten inrichting.,Recidive is een probleem dat niet direct beïnvloed kan worden.
tno,67,Afname van interesse in verduurzamingsmaatregelen.,Onvoldoende uitvoering van duurzame maatregelen.,Een belangrijke reden die wordt gegeven is dat veel maatregelen in het pakket al getroffen zijn door bewoners. Ook de kosten zijn een belangrijk obstakel. De interesse in een totaalaanbod neemt af als bewoners al duurzame maatregelen hebben getroffen.
tno,67,Zorg over stijgende energieprijzen.,Afname van interesse in verduurzamingsmaatregelen.,Het overgrote deel van de deelnemers maakt zich zorgen om de stijgende energieprijzen en vindt dat het verduurzamen van de woning daar een vrij goede oplossing voor is.
tno,67,Hoge kosten van verduurzamingsmaatregelen.,Afname van interesse in verduurzamingsmaatregelen.,De kosten en financiering van het totaalpakket worden ervaren als respectievelijk duur en moeilijk.
tno,72,Verticale scheuren in de constructie.,Corrosie van stalen onderdelen onder het brugdek.,Deze scheur is zeer waarschijnlijk veroorzaakt door ongelijkmatige zettingen of verhinderde vervormingen.
tno,73,Krapte op de arbeidsmarkt.,Negatieve consequenties van technologie voor werkgelegenheid.,"Deze krapte zal naar verwachting blijven stijgen met negatieve consequenties voor werkgevers, werknemers en maatschappij."
tno,73,Krapte op de arbeidsmarkt.,Beperkte inzet van technologie in verschillende sectoren.,In andere sectoren ontbreekt voldoende bewijs om betrouwbare conclusies te trekken.
tno,73,Onzekerheid over de effectiviteit van technologie in het oplossen van personeelstekorten.,Beperkte inzet van technologie in verschillende sectoren.,De vraag naar empirisch bewijs en de perceptie van werknemers over het gebruik van technologie één van de belangrijkste aandachtspunten.
tno,73,Afhankelijkheid van technologie kan leiden tot kwetsbaarheid.,Negatieve consequenties van technologie voor werkgelegenheid.,Toch blijft de vraag naar empirisch bewijs en de perceptie van werknemers over het gebruik van technologie één van de belangrijkste aandachtspunten.
tno,73,Impact van automatisering op de werkgelegenheid.,Negatieve consequenties van technologie voor werkgelegenheid.,De impact van arbeidsbesparende en arbeidsondersteunende technologieën kan verder reiken dan de besproken sectoren.
tno,77,Beperkte diepgang van vaarwegen beïnvloedt belading.,Hogere uitstoot per ton door lagere belading bij laag water.,Het gevolg is dat het brandstofverbruik per vervoerde ton goederen vooral het gevolg is van de karakteristieken van de vaarroute en de actuele waterstanden op rivieren.
tno,77,Hogere uitstoot per ton door lagere belading bij laag water.,Hoge CO2-uitstoot door stationair draaien van schepen.,"Schepen die in staat zijn om een deel van de lading te lossen voor het ondiepe stuk, wat voor containervervoer gemakkelijker is dan voor bulkvervoer, komen daarom gunstiger uit qua brandstofverbruik."
tno,77,Onvoldoende nauwkeurige data over NOx-uitstoot.,Inadequate rapportage van brandstofverbruik.,"Dit kan afwijken van testresultaten van motoren en schepen in laboratoriumomgevingen, die onder ideale en gecontroleerde omstandigheden plaatsvinden."
tno,89,Slechte ervaringen met leren in het verleden kunnen angst veroorzaken om met scholing aan de slag te gaan.,Mensen met een kwetsbare positie op de arbeidsmarkt hebben moeite met leren en ontwikkelen.,Slechte ervaringen met leren in het verleden of weinig zelfvertrouwen kunnen bovendien maken dat iemand angst heeft om daadwerkelijk met scholing aan de slag te gaan. Terwijl dat wel belangrijk is.
tno,89,De groep uitstromers kan als eerste hun baan verliezen bij economische tegenspoed.,"De doelen van externe stakeholders kunnen leidend worden, wat de eigen organisatiedoelen onder druk zet.","We zien dat deze doelen vaak op de korte termijn gericht zijn en minder op LLO en DI. Het risico dat deze groep uitstromers als eerste hun baan weer verliezen zodra het economisch minder goed gaat, is namelijk aanwezig."
tno,89,Er zijn kosten verbonden aan formele erkenning van ontwikkeltrajecten.,De financiering voor werkenden is niet altijd gericht op duurzame uitstroom.,Bovendien zijn er kosten verbonden aan formele erkenning. Het doel en de doelgroep bepalen de vorm en de inhoud van ontwikkelroutes.
tno,166,Hogere concentraties stikstofdioxide (NO2) in huishoudens die op gas koken.,Overschrijding van de WHO- en EU-limieten voor stikstofdioxide (NO2) in huishoudens die op gas koken.,In all seven countries the majority of the households cooking on gas do exceed the WHO daily guideline value of 25 µg/m3.
tno,166,Hogere concentraties stikstofdioxide (NO2) in huishoudens die op gas koken.,Risico op gezondheidsproblemen door slechte luchtkwaliteit.,"In contrast, in houses cooking on electric the indoor NO2 concentrations were below the outside concentration."
tno,166,Hogere concentraties koolmonoxide (CO) in huishoudens die op gas koken.,Huiselijke blootstelling aan schadelijke niveaus van luchtvervuiling door gasfornuizen.,"However, as mentioned earlier the applied Cairsens CO sensor from ENVEA is sensible for ethanol and maybe also for other volatile organic compounds."
tno,166,Hogere concentraties van fijnstof (PM2.5) in huishoudens die op gas koken.,Risico op gezondheidsproblemen door slechte luchtkwaliteit.,With regard to PM2.5 no significant difference between houses cooking on gas and cooking electric could be distinguished.
