Source,Filename,Bedreiging,Categorie,Citaat
tno,8,Reaktieve stikstof schaadt gevoelige ecosystemen.,Ecologisch,"Reaktiver Stickstoff schädigt empfindliche Ökosysteme, die Gesundheit und das Klima."
tno,8,Verhoogde ammoniakemissies uit de landbouw.,Ecologisch,"Aktuell entstehen 76,5 % der landwirtschaftlichen Ammoniakemission aus der Tierhaltung."
tno,8,Verlies van biodiversiteit door stikstofdepositie.,Ecologisch,Stickstoffhaushalt der Atmosphäre Baden-Württemberg (Bezug 3 km Höhe)
tno,8,Verhoogde stikstofdepositie in de natuur.,Ecologisch,Stickstoff-Gesamtdeposition (kg ha[−1] a[−1]) im Freiland und unter Fichte im Kalenderjahr 2014
tno,8,Onvoldoende monitoring van stikstofemissies.,Ecologisch,Die berechnete Stickstoff-Gesamtdeposition des Jahres 2014 musste für mehrere Messstationen gegenüber den im Bericht von 2017 veröffentlichten Werten korrigiert werden.
tno,8,Verontreiniging door ammoniak.,Ecologisch,"NH3 0,760 0,733 0,708 0,696"
tno,8,Verlies van stikstof door microbiële activiteit.,Ecologisch,Für NH4 wurden überwiegend abneh­mende Konzentrationen mit zunehmender Verweildauer im Gelände belegt.
tno,8,Verlies van stikstof door denitrificatie.,Ecologisch,Für NO3 wurde Denitrifikation als zusätzlicher Faktor für Stickstoffverluste angeführt.
tno,8,Verhoogde concentraties van stikstofoxiden in de lucht.,Ecologisch,"Gesamtemissionen für das Jahr 2014 auf dem Gebiet N3 für NOX. Links: LUBW Emissionen, rechts: GRETA Emissionen"
tno,8,Verlies van belangrijke gegevens door uitsluiting van onbetrouwbare waarden.,Technologisch & digitaal,unplausible Datenreihen werden von der weiteren Bearbeitung ausgeschlossen
tno,9,Corrosie van staal in geothermische systemen.,Technologisch & digitaal,"""Geothermal systems are currently mainly made out of steel and therefore subjected to corrosion and deposits."""
tno,9,Hoge onderhoudskosten door corrosiepreventie.,Economisch,"""This will result in high maintenance costs for corrosion prevention (inhibitors), inspections and repairs which will reduce uptime of the system."""
tno,9,Risico op productiestilstand door onvoorziene onderhoud.,Economisch,"""...the risk of production shutdown for unscheduled maintenance and additional production loss."""
tno,9,Afhankelijkheid van traditionele olie- en gasboortechnologie.,Geopolitiek & militair,"""Current geothermal wells are mainly based on traditional oil and gas drilling and well construction technology."""
