Topic,Count,Name,Representation,Representative_Docs
0,374,0_Nauwkeurigheid,['Nauwkeurigheid'],"['Beperkingen in de nauwkeurigheid van weersvoorspellingen door gebruik van verouderde of onbetrouwbare gegevens.', 'Verlies van nauwkeurigheid in meteorologische modellen door onbetrouwbare gegevens.', 'Beperkingen in de nauwkeurigheid van windmetingen.']"
1,333,1_Onzekerheid,['Onzekerheid'],"['Onzekerheid in klimaatmodellen.', 'Onzekerheid over de gevolgen van klimaatverandering.', 'Onzekerheid over de impact van klimaatverandering.']"
2,304,2_Temperatuurverandering,['Temperatuurverandering'],"['Verhoogde temperatuur in de Noordzee-regio.', 'Eutrofiëring van de Noordzee door klimaatverandering.', 'De toename van de temperatuur in de Noordzee.']"
3,300,3_Voedingswaarde Algen,['Voedingswaarde Algen'],"['Onzekerheid over de voedingswaarde van algen.', 'Beperkingen in de voedingswaarde van algen voor dieren.', 'Afhankelijkheid van CO2-emissies voor de productie van algen.']"
4,295,4_Ondersteuning,['Ondersteuning'],"['Bijstandsgerechtigden ervaren een gebrek aan ondersteuning van de gemeente.', 'Ongelijkheid in ondersteuning voor bijstandsgerechtigden.', 'Onvoldoende ondersteuning voor bijstandsgerechtigden.']"
5,291,5_Visbestanden,['Visbestanden'],"['Verlies van vissoorten door klimaatverandering.', 'Veranderingen in de distributie van vissoorten door klimaatverandering.', 'Veranderingen in de visserij door klimaatverandering.']"
6,290,6_Biodiversiteitsverlies,['Biodiversiteitsverlies'],"['Klimaatverandering beïnvloedt de biodiversiteit in mariene ecosystemen.', 'Verlies van biodiversiteit in mariene ecosystemen.', 'Verlies van biodiversiteit door klimaatverandering.']"
7,265,7_Jihadistische Dreiging,['Jihadistische Dreiging'],"['De dreiging van terroristische aanslagen door ISIS.', 'De jihadistische dreiging blijft de voornaamste terroristische dreiging tegen Nederland.', 'De jihadistische dreiging vormt de voornaamste terroristische dreiging tegen Nederland.']"
8,256,8_Noord-Atlantische Oscillatie,['Noord-Atlantische Oscillatie'],"['Veranderingen in de Noord-Atlantische Oscillatie beïnvloeden het klimaat in Europa.', 'Verandering in de circulatie door de Noord-Atlantische Oscillatie.', 'De invloed van de Noord-Atlantische Oscillatie (NAO) op het klimaat in Europa.']"
9,253,9_Buitenlandse Risico's,"[""Buitenlandse Risico's""]","[""Risico's voor nationale veiligheid door buitenlandse investeringen."", 'De digitale sabotage van vitale infrastructuur.', ""Risico's van cyberaanvallen op digitale infrastructuur.""]"
10,243,10_Oorlog Oekraïne,['Oorlog Oekraïne'],"['Verhoogde spanningen door de oorlog in Oekraïne.', 'Verlies van Oekraïne in de oorlog met Rusland.', 'De mogelijkheid van een langdurige oorlog tussen Rusland en Oekraïne.']"
11,227,11_Ongelijkheid,['Ongelijkheid'],"['De mentale gezondheid van jongeren is onder druk.', 'Risico op armoede voor vrouwen door afhankelijkheid van kinderopvang.', 'Ongelijkheid in de arbeidsmarkt voor vrouwen.']"
12,219,12_Afhankelijkheid,['Afhankelijkheid'],"['Afhankelijkheid van fossiele brandstoffen.', 'Afhankelijkheid van fossiele brandstoffen voor energie.', 'Afhankelijkheid van buitenlandse investeringen']"
13,219,13_Zeespiegelstijging,['Zeespiegelstijging'],"['Verhoogde stormvloeden door klimaatverandering.', 'Veranderingen in de zeespiegel door klimaatverandering.', 'Veranderingen in stormvloeden door zeespiegelstijging.']"
14,217,14_Energiebesparing,['Energiebesparing'],"['Ondervertegenwoordiging van woningen gebouwd voor 1945 in aanvragen voor energiebesparende maatregelen.', 'Weinig aanvragen voor energiebesparende maatregelen door huishoudens met een laag inkomen.', 'Hoge inflatie door stijgende kosten.']"
15,214,15_Hittegolven,['Hittegolven'],"['Extreme weersomstandigheden in Europa.', 'Verhoogde frequentie van hittegolven in stedelijke gebieden.', 'Verhoogde frequentie van hittegolven in Europa.']"
16,210,16_Koopkracht,['Koopkracht'],"['De koopkracht van huishoudens is laag.', 'De niet-gebruik van toeslagen door huishoudens.', 'Daling van de koopkracht van huishoudens.']"
17,205,17_Effectiviteit,['Effectiviteit'],"['Onzekerheid over de effectiviteit van nationale maatregelen tegen China.', 'Onzekerheid over de effectiviteit van technologie', 'Onzekerheid over de effectiviteit van subsidies.']"
18,204,18_Economische Daling,['Economische Daling'],"['De dynamiek van bedrijven verschilt tussen de VS en Europa, wat gevolgen heeft voor de productiviteit.', 'De internationale handel beïnvloedt de productiviteit van binnenlandse bedrijven.', 'Afname van de economische groei']"
19,197,19_Extreme Neerslag,['Extreme Neerslag'],"['Verhoogde frequentie van extreme neerslag in stedelijke gebieden.', 'Toename van extreme neerslag door klimaatverandering.', 'Verhoogde frequentie van extreme neerslag.']"
20,196,20_Vertrouwensoverheid,['Vertrouwensoverheid'],"['Laag vertrouwen in de politiek en overheid.', 'Verlies van vertrouwen van burgers in de overheid.', 'Onvoldoende politiek vertrouwen in de overheid.']"
21,188,21_Solidariteit,['Solidariteit'],"['De coronapandemie heeft geleid tot een afname van steun voor solidariteit met vluchtelingen.', 'De coronapandemie heeft geleid tot een afname van steun voor solidariteit met mensen in andere landen.', 'De coronapandemie heeft geleid tot een afname van solidariteit met andere landen.']"
22,181,22_Sociale Cohesie,['Sociale Cohesie'],"['Verlies van sociale cohesie door economische ongelijkheid', 'Verlies van sociale cohesie door economische ongelijkheid.', 'Verlies van sociale cohesie door ongelijkheid.']"
23,181,23_Gegevenskwaliteit,['Gegevenskwaliteit'],"['Ongeldige selectie-indicatoren kunnen leiden tot fouten in de data-analyse.', 'Ongeldige ambiguïteiten kunnen de betrouwbaarheid van de gegevens verminderen.', 'Ongeldige ambiguïteiten kunnen de kwaliteit van de data beïnvloeden.']"
24,170,24_Defensie-uitgaven,['Defensie-uitgaven'],"['De noodzaak voor hogere EU-investeringen in defensie.', 'De Europese defensie-industrie heeft te maken met een gebrek aan samenwerking en investeringen.', 'De noodzaak om de Nederlandse en Europese defensie-industrie te versterken.']"
25,167,25_Luchtvervuiling,['Luchtvervuiling'],"['Verhoogde luchtvervuiling door scheepvaart.', ""Verhoogde gezondheidsrisico's door luchtvervuiling."", 'Toename van luchtvervuiling door antropogene emissies.']"
